Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12542,8/16/2022,0.169223343,0.202594492,0.196350977,21,100
Market-Adjusted Model,12543,8/16/2022,0.004585993,0.030645837,0.031713626,21,100
Market-Adjusted Model,12552,8/16/2022,0.017338985,0.043561703,0.044466618,21,100
Market-Adjusted Model,12556,8/16/2022,-0.13087931,-0.096611166,-0.103751676,21,100
Market-Adjusted Model,12558,8/16/2022,0.032402231,0.059711424,0.059529864,21,100
Market-Adjusted Model,12559,8/16/2022,-9.50E-14,0.00482,0.00482,1,100
Market-Adjusted Model,12564,8/16/2022,-0.008675126,0.017501227,0.018452507,21,100
Market-Adjusted Model,12565,8/16/2022,-0.015988369,0.010087043,0.011139265,21,100
Market-Adjusted Model,12566,8/16/2022,0.025970395,0.056385572,0.053098028,21,100
Market-Adjusted Model,12569,8/16/2022,-0.143835638,-0.12027745,-0.116708005,21,100
Market-Adjusted Model,12570,8/16/2022,-0.011243425,0.018867517,0.015884208,21,100
Market-Adjusted Model,12573,8/16/2022,0.43859652,0.477139432,0.465724153,21,100
Market-Adjusted Model,12577,8/16/2022,-0.060000015,0.02104777,-0.032872382,21,100
Market-Adjusted Model,12578,8/16/2022,-0.04771136,-0.021763376,-0.020583726,21,100
Market-Adjusted Model,12579,8/16/2022,0.052083276,0.095583565,0.079210909,21,100
Market-Adjusted Model,12583,8/16/2022,-0.070487696,-0.041871911,-0.043360062,21,100
Market-Adjusted Model,12591,8/16/2022,-0.031494486,-0.001539386,-0.004366853,21,100
Market-Adjusted Model,12592,8/16/2022,0.04472336,0.078060903,0.071850993,21,100
Market-Adjusted Model,12593,8/16/2022,0.035382381,0.062698737,0.062510015,21,100
Market-Adjusted Model,12615,8/16/2022,-0.010943902,0.017943239,0.016183732,21,100
Market-Adjusted Model,12621,8/16/2022,0.101145771,0.127107748,0.128273404,21,100
Market-Adjusted Model,12622,8/16/2022,-0.043288629,-0.015581839,-0.016160996,21,100
Market-Adjusted Model,12623,8/16/2022,0.069201956,0.09482262,0.096329589,21,100
Market-Adjusted Model,12625,8/16/2022,-0.017589637,0.008676837,0.009537996,21,100
Market-Adjusted Model,12628,8/16/2022,-0.006515981,0.020905326,0.020611652,21,100
Market-Adjusted Model,12629,8/16/2022,-0.179736311,-0.15643818,-0.152608678,21,100
Market-Adjusted Model,12631,8/16/2022,0.004224746,0.030060134,0.031352379,21,100
Market-Adjusted Model,12633,8/16/2022,0.039024352,0.064681873,0.066151985,21,100
Market-Adjusted Model,12641,8/16/2022,-0.005923565,0.023579753,0.021204068,21,100
Market-Adjusted Model,12644,8/16/2022,0.167524342,0.19762339,0.194651975,21,100
Market-Adjusted Model,12646,8/16/2022,0.009509319,0.03857937,0.036636952,21,100
Market-Adjusted Model,12647,8/16/2022,-0.058677413,-0.03289999,-0.03154978,21,100
Market-Adjusted Model,12648,8/16/2022,0.017482592,0.044993458,0.044610225,21,100
Market-Adjusted Model,12649,8/16/2022,0.094556561,0.118832492,0.121684194,21,100
Market-Adjusted Model,12651,8/16/2022,0.016299469,0.043826385,0.043427102,21,100
Market-Adjusted Model,12652,8/16/2022,-0.018928893,0.008888337,0.00819874,21,100
Market-Adjusted Model,12654,8/16/2022,-0.033707459,-0.007045953,-0.006579826,21,100
Market-Adjusted Model,12655,8/16/2022,0.007088827,0.033817973,0.034216461,21,100
Market-Adjusted Model,12656,8/16/2022,-0.027959438,-0.00061819,-0.000831805,21,100
Market-Adjusted Model,12657,8/16/2022,-0.02550554,0.00218689,0.001622094,21,100
Market-Adjusted Model,12658,8/16/2022,-0.005484426,0.022775192,0.021643207,21,100
Market-Adjusted Model,12659,8/16/2022,-0.041811863,-0.014487742,-0.01468423,21,100
Market-Adjusted Model,12662,8/16/2022,-0.014234863,0.012475347,0.01289277,21,100
Market-Adjusted Model,12666,8/16/2022,0.00809392,0.033794924,0.035221553,21,100
Market-Adjusted Model,12672,8/16/2022,0.042307706,0.067575543,0.069435339,21,100
Market-Adjusted Model,12673,8/16/2022,-0.07783622,-0.052618756,-0.050708586,21,100
Market-Adjusted Model,12675,8/16/2022,-0.029797044,-0.004069337,-0.002669411,21,100
Market-Adjusted Model,12676,8/16/2022,-0.029190194,-0.003672317,-0.00206256,21,100
Market-Adjusted Model,12680,8/16/2022,0.300000029,0.330943063,0.327127663,21,100
Market-Adjusted Model,12681,8/16/2022,-0.039728673,-0.012809598,-0.01260104,21,100
Market-Adjusted Model,12684,8/16/2022,0.005442175,0.036915685,0.032569808,21,100
Market-Adjusted Model,12690,8/16/2022,-0.046827786,-0.019574299,-0.019700153,21,100
Market-Adjusted Model,12693,8/16/2022,-0.055635438,-0.027081966,-0.028507805,21,100
Market-Adjusted Model,12697,8/16/2022,-0.079268293,-0.039517507,-0.05214066,21,100
Market-Adjusted Model,12699,8/16/2022,0.088794938,0.120769448,0.115922571,21,100
Market-Adjusted Model,12717,8/16/2022,-0.044725945,-0.017320583,-0.017598312,21,100
