Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12062,2022-08-16,-0.113522112,-0.092292868,-0.086394479,21,100
Market-Adjusted Model,12064,2022-08-16,-0.007707933,0.0179990192,0.0194197004,21,100
Market-Adjusted Model,12065,2022-08-16,-0.018818576,0.0069373564,0.0083090576,21,100
Market-Adjusted Model,12066,2022-08-16,0.0475032168,0.0732660017,0.07463085,21,100
Market-Adjusted Model,12068,2022-08-16,-0.023041561,0.0037968592,0.0040860725,21,100
Market-Adjusted Model,12070,2022-08-16,-0.115591397,-0.093633755,-0.088463764,21,100
Market-Adjusted Model,12075,2022-08-16,0.0038109515,0.0301552119,0.0309385846,21,100
Market-Adjusted Model,12076,2022-08-16,0.0753425059,0.1182282928,0.1024701391,21,100
Market-Adjusted Model,12078,2022-08-16,0.0719026132,0.099357679,0.0990302463,21,100
Market-Adjusted Model,12082,2022-08-16,0.1052631724,0.1301780606,0.1323908056,21,100
Market-Adjusted Model,12084,2022-08-16,-0.101788608,-0.073162265,-0.074660975,21,100
Market-Adjusted Model,12098,2022-08-16,0.0001755349,0.0266323004,0.027303168,21,100
Market-Adjusted Model,12103,2022-08-16,-0.031553349,-0.005648415,-0.004425716,21,100
Market-Adjusted Model,12105,2022-08-16,-0.032171608,-0.005385259,-0.005043975,21,100
Market-Adjusted Model,12109,2022-08-16,0.1096877469,0.1355978682,0.1368153801,21,100
Market-Adjusted Model,12146,2022-08-16,-0.057692333,-0.030600795,-0.0305647,21,100
Market-Adjusted Model,12166,2022-08-16,-0.092436957,-0.062880534,-0.065309324,21,100
Market-Adjusted Model,12189,2022-08-16,0.0497367967,0.0778244054,0.0768644298,21,100
Market-Adjusted Model,12209,2022-08-16,0.1602636235,0.2266289298,0.1873912566,21,100
Market-Adjusted Model,12211,2022-08-16,0.0198105638,0.0485146203,0.046938197,21,100
Market-Adjusted Model,12219,2022-08-16,-0.01762489,0.0086551656,0.0095027434,21,100
Market-Adjusted Model,12226,2022-08-16,0.0248680226,0.0540345221,0.0519956557,21,100
Market-Adjusted Model,12266,2022-08-16,-0.10778134,-0.07652983,-0.080653707,21,100
Market-Adjusted Model,12287,2022-08-16,0.0409516812,0.0670727568,0.0680793143,21,100
Market-Adjusted Model,12289,2022-08-16,-0.030519033,-0.004815485,-0.0033914,21,100
Market-Adjusted Model,12292,2022-08-16,0.0216862942,0.0492076325,0.0488139273,21,100
Market-Adjusted Model,12294,2022-08-16,-0.042567996,-0.015229018,-0.015440363,21,100
Market-Adjusted Model,12295,2022-08-16,-0.019095177,0.0074842909,0.0080324566,21,100
Market-Adjusted Model,12296,2022-08-16,-0.035069958,-0.008114526,-0.007942325,21,100
Market-Adjusted Model,12297,2022-08-16,-0.040559014,-0.013276948,-0.01343138,21,100
Market-Adjusted Model,12301,2022-08-16,-0.036543793,-0.009431571,-0.00941616,21,100
Market-Adjusted Model,12302,2022-08-16,-0.020516544,0.0065658674,0.0066110889,21,100
Market-Adjusted Model,12303,2022-08-16,-0.027645281,-0.000108196,-0.000517648,21,100
Market-Adjusted Model,12304,2022-08-16,-0.024902836,0.0023450091,0.002224797,21,100
Market-Adjusted Model,12305,2022-08-16,-0.030769217,-0.003863748,-0.003641584,21,100
Market-Adjusted Model,12307,2022-08-16,0.5561497922,0.6413292372,0.5832774254,21,100
Market-Adjusted Model,12308,2022-08-16,-0.0399709,-0.010461871,-0.012843267,21,100
Market-Adjusted Model,12310,2022-08-16,-0.075630283,0.0051799272,-0.04850265,21,100
Market-Adjusted Model,12313,2022-08-16,-0.028217182,-0.00120054,-0.001089548,21,100
Market-Adjusted Model,12314,2022-08-16,-0.035941511,-0.008610974,-0.008813878,21,100
Market-Adjusted Model,12315,2022-08-16,-0.020864214,0.0058855147,0.0062634189,21,100
Market-Adjusted Model,12316,2022-08-16,-0.029994551,-0.003062699,-0.002866918,21,100
Market-Adjusted Model,12317,2022-08-16,-0.005092206,0.023473574,0.0220354274,21,100
Market-Adjusted Model,12318,2022-08-16,-0.012716907,0.0152760216,0.0144107265,21,100
Market-Adjusted Model,12321,2022-08-16,-0.025357004,0.0020560725,0.0017706288,21,100
Market-Adjusted Model,12325,2022-08-16,0.0571615814,0.0976099314,0.0842892146,21,100
Market-Adjusted Model,12326,2022-08-16,-0.049726953,-0.023978669,-0.02259932,21,100
Market-Adjusted Model,12329,2022-08-16,-0.088271656,-0.065332386,-0.061144023,21,100
Market-Adjusted Model,12331,2022-08-16,-0.03941663,-0.013892368,-0.012288997,21,100
Market-Adjusted Model,12332,2022-08-16,0.2231404778,0.2491587596,0.2502681109,21,100
Market-Adjusted Model,12333,2022-08-16,0.0253572606,0.0566063032,0.0524848938,21,100
Market-Adjusted Model,12334,2022-08-16,-0.040071906,-0.01381987,-0.012944273,21,100
Market-Adjusted Model,12338,2022-08-16,-0.077697839,-0.052355668,-0.050570206,21,100
Market-Adjusted Model,12339,2022-08-16,0.3687634965,0.3618584948,0.3958911297,21,100
Market-Adjusted Model,12341,2022-08-16,0.0010938334,0.0273105456,0.0282214665,21,100
Market-Adjusted Model,12345,2022-08-16,-0.025123803,0.0037324654,0.0020038299,21,100
Market-Adjusted Model,12350,2022-08-16,-0.266928135,-0.260946197,-0.239800502,21,100
Market-Adjusted Model,12355,2022-08-16,-0.031669546,-0.00430789,-0.004541913,21,100
Market-Adjusted Model,12358,2022-08-16,-0.069692379,0.0270629606,-0.042564746,21,100
Market-Adjusted Model,12360,2022-08-16,0.2460851094,0.3223626052,0.2732127426,21,100
Market-Adjusted Model,12363,2022-08-16,0.0545023771,0.0898445157,0.0816300102,21,100
Market-Adjusted Model,12366,2022-08-16,0.0007119507,0.027486608,0.0278395838,21,100
Market-Adjusted Model,12367,2022-08-16,-0.146491245,-0.115019995,-0.119363612,21,100
Market-Adjusted Model,12368,2022-08-16,-0.030199318,-0.004343588,-0.003071685,21,100
Market-Adjusted Model,12369,2022-08-16,0.066630423,0.0955720779,0.0937580562,21,100
Market-Adjusted Model,12370,2022-08-16,-0.107715741,-0.083729817,-0.080588108,21,100
Market-Adjusted Model,12372,2022-08-16,0.1120608083,0.1449043616,0.1391884415,21,100
Market-Adjusted Model,12373,2022-08-16,-0.072631338,-0.044446188,-0.045503705,21,100
Market-Adjusted Model,12376,2022-08-16,0.0154394414,0.0436391645,0.0425670745,21,100
Market-Adjusted Model,12377,2022-08-16,0.0600122139,0.1141558666,0.087139847,21,100
Market-Adjusted Model,12380,2022-08-16,0.0727969533,0.1048893986,0.0999245864,21,100
Market-Adjusted Model,12385,2022-08-16,-0.040880539,-0.014616892,-0.013752906,21,100
Market-Adjusted Model,12391,2022-08-16,-0.045879429,-0.015336956,-0.018751796,21,100
Market-Adjusted Model,12397,2022-08-16,0.009433949,0.0441990757,0.0365615822,21,100
Market-Adjusted Model,12400,2022-08-16,0.0757134387,0.1014936838,0.1028410718,21,100
Market-Adjusted Model,12411,2022-08-16,0.0272727065,0.0594598374,0.0544003396,21,100
Market-Adjusted Model,12412,2022-08-16,-0.051114027,-0.025684631,-0.023986394,21,100
Market-Adjusted Model,12431,2022-08-16,0.0601122804,0.0875930324,0.0872399136,21,100
Market-Adjusted Model,12437,2022-08-16,0.0009861213,0.0269811442,0.0281137544,21,100
Market-Adjusted Model,12442,2022-08-16,0.1615935819,0.1920474037,0.188721215,21,100
Market-Adjusted Model,12443,2022-08-16,-0.168113187,-0.140697234,-0.140985553,21,100
Market-Adjusted Model,12447,2022-08-16,-0.054990947,-0.017371848,-0.027863314,21,100
Market-Adjusted Model,12448,2022-08-16,-0.057149887,-0.030481495,-0.030022254,21,100
Market-Adjusted Model,12449,2022-08-16,-0.031908639,-0.004032028,-0.004781006,21,100
Market-Adjusted Model,12452,2022-08-16,-0.227502564,-0.206426295,-0.200374931,21,100
Market-Adjusted Model,12453,2022-08-16,-0.009529435,0.0161920672,0.0175981981,21,100
Market-Adjusted Model,12457,2022-08-16,0.0283517634,0.0551011888,0.0554793965,21,100
Market-Adjusted Model,12461,2022-08-16,-0.040102482,-0.013888651,-0.012974849,21,100
Market-Adjusted Model,12462,2022-08-16,-0.059843345,-0.034795883,-0.032715712,21,100
Market-Adjusted Model,12472,2022-08-16,-0.011022148,0.0181573159,0.0161054856,21,100
Market-Adjusted Model,12473,2022-08-16,-0.041340805,-0.013924934,-0.014213172,21,100
Market-Adjusted Model,12476,2022-08-16,-0.004676989,0.027580313,0.0224506444,21,100
Market-Adjusted Model,12477,2022-08-16,-0.0896765,-0.064325685,-0.062548867,21,100
Market-Adjusted Model,12480,2022-08-16,0.0187969286,0.0466406358,0.0459245618,21,100
Market-Adjusted Model,12487,2022-08-16,-0.030082526,-0.000179793,-0.002954893,21,100
Market-Adjusted Model,12488,2022-08-16,-0.165605164,-0.1306111,-0.138477531,21,100
Market-Adjusted Model,12490,2022-08-16,-0.006123821,0.0207818991,0.021003812,21,100
Market-Adjusted Model,12495,2022-08-16,-0.170124511,-0.151678573,-0.142996878,21,100
Market-Adjusted Model,12497,2022-08-16,-0.079601971,-0.050786299,-0.052474338,21,100
Market-Adjusted Model,12500,2022-08-16,-0.18527781,0.0689883029,-0.158150177,21,100
Market-Adjusted Model,12502,2022-08-16,0.3147865932,0.3196412155,0.3419142263,21,100
Market-Adjusted Model,12505,2022-08-16,-0.085395464,-0.062510907,-0.058267831,21,100
Market-Adjusted Model,12508,2022-08-16,-0.038432682,-0.012441868,-0.011305049,21,100
Market-Adjusted Model,12510,2022-08-16,-0.013356797,0.0188493264,0.0137708361,21,100
Market-Adjusted Model,12513,2022-08-16,-0.062624954,-0.037037571,-0.035497321,21,100
Market-Adjusted Model,12514,2022-08-16,-0.0017694,0.0247689878,0.0253582333,21,100
Market-Adjusted Model,12515,2022-08-16,-0.032417011,-0.004958215,-0.005289378,21,100
Market-Adjusted Model,12516,2022-08-16,0.0006322447,0.0271859196,0.0277598778,21,100
Market-Adjusted Model,12523,2022-08-16,-0.023551476,0.003122169,0.0035761573,21,100
Market-Adjusted Model,12527,2022-08-16,0.2140395841,0.2469414858,0.2411672172,21,100
Market-Adjusted Model,12528,2022-08-16,0.1102410013,0.1364820384,0.1373686345,21,100
Market-Adjusted Model,12530,2022-08-16,0.0120662976,0.0398755337,0.0391939307,21,100
Market-Adjusted Model,12531,2022-08-16,-0.012607807,0.026364739,0.0145198266,21,100
Market-Adjusted Model,12533,2022-08-16,-0.003283214,0.0243913435,0.0238444188,21,100
Market-Adjusted Model,12534,2022-08-16,-0.020815706,0.0093502744,0.0063119275,21,100
Market-Adjusted Model,12535,2022-08-16,-0.018832326,0.0085049501,0.0082953075,21,100
Market-Adjusted Model,12536,2022-08-16,-0.046737192,-0.020802089,-0.019609558,21,100
Market-Adjusted Model,12537,2022-08-16,-0.007780993,0.0183873947,0.0193466401,21,100
Market-Adjusted Model,12540,2022-08-16,0.1541307026,0.1788760844,0.1812583357,21,100
Market-Adjusted Model,12542,2022-08-16,0.1692233433,0.202594492,0.1963509765,21,100
Market-Adjusted Model,12543,2022-08-16,0.0045859926,0.0306458368,0.0317136257,21,100
Market-Adjusted Model,12552,2022-08-16,0.0173389853,0.0435617029,0.0444666184,21,100
Market-Adjusted Model,12556,2022-08-16,-0.13087931,-0.096611166,-0.103751676,21,100
Market-Adjusted Model,12558,2022-08-16,0.0324022309,0.0597114243,0.059529864,21,100
Market-Adjusted Model,12559,2022-08-16,-9.50351E-14,0.00482,0.00482,1,100
Market-Adjusted Model,12564,2022-08-16,-0.008675126,0.0175012271,0.0184525068,21,100
Market-Adjusted Model,12565,2022-08-16,-0.015988369,0.0100870431,0.0111392645,21,100
Market-Adjusted Model,12566,2022-08-16,0.0259703945,0.0563855723,0.0530980276,21,100
Market-Adjusted Model,12569,2022-08-16,-0.143835638,-0.12027745,-0.116708005,21,100
Market-Adjusted Model,12570,2022-08-16,-0.011243425,0.0188675174,0.0158842081,21,100
Market-Adjusted Model,12573,2022-08-16,0.4385965201,0.4771394319,0.4657241533,21,100
Market-Adjusted Model,12577,2022-08-16,-0.060000015,0.0210477702,-0.032872382,21,100
Market-Adjusted Model,12578,2022-08-16,-0.04771136,-0.021763376,-0.020583726,21,100
Market-Adjusted Model,12579,2022-08-16,0.0520832758,0.0955835653,0.0792109089,21,100
Market-Adjusted Model,12583,2022-08-16,-0.070487696,-0.041871911,-0.043360062,21,100
Market-Adjusted Model,12591,2022-08-16,-0.031494486,-0.001539386,-0.004366853,21,100
Market-Adjusted Model,12592,2022-08-16,0.0447233596,0.0780609026,0.0718509927,21,100
Market-Adjusted Model,12593,2022-08-16,0.0353823814,0.0626987368,0.0625100145,21,100
Market-Adjusted Model,12615,2022-08-16,-0.010943902,0.0179432389,0.0161837316,21,100
Market-Adjusted Model,12621,2022-08-16,0.1011457708,0.127107748,0.1282734039,21,100
Market-Adjusted Model,12622,2022-08-16,-0.043288629,-0.015581839,-0.016160996,21,100
Market-Adjusted Model,12623,2022-08-16,0.0692019555,0.0948226199,0.0963295886,21,100
Market-Adjusted Model,12625,2022-08-16,-0.017589637,0.0086768368,0.0095379959,21,100
Market-Adjusted Model,12628,2022-08-16,-0.006515981,0.0209053264,0.0206116521,21,100
Market-Adjusted Model,12629,2022-08-16,-0.179736311,-0.15643818,-0.152608678,21,100
Market-Adjusted Model,12631,2022-08-16,0.0042247461,0.0300601338,0.0313523792,21,100
Market-Adjusted Model,12633,2022-08-16,0.0390243523,0.0646818732,0.0661519854,21,100
